request_id|subject|target_node|ingress_node|processed_by|routed_from|routed_to|prefix_match_input_tokens|expected_cache_hit_tokens|expected_cache_hit_ratio|sglang_prompt_tokens|sglang_cache_hit_tokens|sglang_uncached_prefill_tokens|sglang_cache_hit_ratio|inference_time_s|actual_sglang_inference_time_s|communication_time_s|routing_processing_time_s|local_processing_time_s|other_processing_time_s|local_snapshot_match_after_process|total_time_s|generated_text|error
0|professional_law|0|0|0|||1359|0|0.0|1359|0|1359|0.0|0.6847|0.0134|0.0|0.0137|0.0042|0.0179|1359|0.7026| B|
1|professional_psychology|1|1|1|||460|0|0.0|460|0|460|0.0|0.24|0.0092|0.0|0.0031|0.0023|0.0054|460|0.2454| C|
2|miscellaneous|2|2|2|||292|0|0.0|292|0|292|0.0|0.182|0.0106|0.0|0.0031|0.0021|0.0052|292|0.1872| B|
3|human_aging|3|3|3|||351|1|0.0028|351|1|350|0.0028|0.2011|0.0104|0.0|0.0032|0.0024|0.0056|351|0.2067| D|
4|anatomy|0|0|0|||388|0|0.0|388|0|388|0.0|0.2142|0.0087|0.0|0.0054|0.0047|0.0101|388|0.2243| B|
5|high_school_biology|1|1|1|||395|0|0.0|395|0|395|0.0|0.2166|0.0094|0.0|0.0036|0.0031|0.0067|395|0.2233| B|
6|professional_law|0|0|0|||1409|1179|0.8368|1409|1179|230|0.8368|0.1626|0.0149|0.0|0.0116|0.0148|0.0264|1409|0.189| A|
7|high_school_chemistry|2|2|2|||449|0|0.0|449|0|449|0.0|0.236|0.0118|0.0|0.0037|0.0042|0.0079|449|0.2439| A|
8|professional_accounting|3|3|3|||561|0|0.0|561|0|561|0.0|0.2787|0.014|0.0|0.0061|0.0061|0.0122|561|0.2909| C|
9|human_aging|1|1|1|||307|1|0.0033|307|1|306|0.0033|0.1865|0.0101|0.0|0.0068|0.0038|0.0106|307|0.1971| C|
10|public_relations|0|0|0|||399|0|0.0|399|0|399|0.0|0.218|0.0089|0.0|0.0088|0.0081|0.0169|399|0.2349| C|
11|sociology|1|1|1|||403|0|0.0|403|0|403|0.0|0.2195|0.0081|0.0|0.0053|0.0047|0.01|403|0.2295| B|
12|miscellaneous|2|2|2|||294|261|0.8878|294|261|33|0.8878|0.1081|0.0106|0.0|0.0065|0.0036|0.0101|294|0.1182| A|
13|high_school_chemistry|3|3|3|||458|0|0.0|458|0|458|0.0|0.2393|0.0091|0.0|0.0047|0.0042|0.0089|458|0.2482| B|
14|moral_scenarios|2|2|2|||625|0|0.0|625|0|625|0.0|0.3047|0.0087|0.0|0.005|0.005|0.01|625|0.3147| C|
15|professional_law|0|0|0|||1341|1178|0.8784|1341|1178|163|0.8784|0.1428|0.0143|0.0|0.02|0.0216|0.0416|1341|0.1844| D|
16|prehistory|3|3|3|||429|0|0.0|429|0|429|0.0|0.2287|0.0109|0.0|0.0095|0.0116|0.0211|429|0.2498| D|
17|professional_psychology|1|1|1|||393|352|0.8957|393|352|41|0.8957|0.1101|0.0103|0.0|0.0101|0.0109|0.021|393|0.1311| D|
18|college_chemistry|0|0|0|||430|1|0.0023|430|1|429|0.0023|0.2287|0.0244|0.0|0.0231|0.0175|0.0406|430|0.2693| B|
19|professional_psychology|2|2|2|||406|0|0.0|406|0|406|0.0|0.2205|0.0109|0.0|0.0106|0.0106|0.0212|406|0.2417| A|
20|high_school_chemistry|3|3|3|||436|379|0.8693|436|379|57|0.8693|0.1141|0.0114|0.0|0.0086|0.0115|0.0201|436|0.1342| C|
21|electrical_engineering|1|1|1|||385|1|0.0026|385|1|384|0.0026|0.2128|0.0105|0.0|0.0117|0.012|0.0237|385|0.2365| C|
22|high_school_biology|0|0|0|||478|0|0.0|478|0|478|0.0|0.2467|0.0125|0.0|0.0372|0.0173|0.0545|478|0.3012| B|
23|management|2|2|2|||278|0|0.0|278|0|278|0.0|0.1775|0.0108|0.0|0.0148|0.0143|0.0291|278|0.2066| D|
24|professional_psychology|1|1|1|||428|352|0.8224|428|352|76|0.8224|0.119|0.0108|0.0|0.0097|0.0081|0.0178|428|0.1368| D|
25|jurisprudence|3|3|3|||535|0|0.0|535|0|535|0.0|0.2685|0.0161|0.0|0.0321|0.0162|0.0483|535|0.3168| C|
26|moral_disputes|0|0|0|||404|0|0.0|404|0|404|0.0|0.2198|0.0113|0.0|0.041|0.0269|0.0679|404|0.2877| B|
27|elementary_mathematics|1|1|1|||395|0|0.0|395|0|395|0.0|0.2166|0.0108|0.0|0.015|0.0153|0.0303|395|0.2469| B|
28|high_school_world_history|2|2|2|||1656|0|0.0|1656|0|1656|0.0|0.8814|0.0208|0.0|0.0227|0.0132|0.0359|1656|0.9173| C|
