request_id|subject|target_node|ingress_node|processed_by|routed_from|routed_to|prefix_match_input_tokens|expected_cache_hit_tokens|expected_cache_hit_ratio|sglang_prompt_tokens|sglang_cache_hit_tokens|sglang_cache_hit_ratio|local_snapshot_match_after_process|total_time_s|generated_text|error
0|professional_law|0|0|0|||1359|0|0.0|1359|0|0.0|1359|0.0156| B|
1|professional_psychology|1|1|1|||460|0|0.0|460|0|0.0|460|0.0125| C|
2|miscellaneous|2|2|2|||292|0|0.0|292|0|0.0|292|0.0128| B|
3|human_aging|3|3|3|||351|1|0.0028|351|1|0.0028|351|0.0128| D|
4|anatomy|0|0|0|||388|0|0.0|388|0|0.0|388|0.0145| B|
5|high_school_biology|1|1|1|||395|0|0.0|395|0|0.0|395|0.0154| B|
6|professional_law|0|0|0|||1409|1179|0.8368|1409|1179|0.8368|1409|0.0136| A|
7|high_school_chemistry|2|2|2|||449|0|0.0|449|0|0.0|449|0.0133| A|
8|professional_accounting|3|3|3|||561|0|0.0|561|0|0.0|561|0.0155| C|
9|human_aging|1|1|1|||307|1|0.0033|307|1|0.0033|307|0.012| C|
10|public_relations|0|0|0|||399|0|0.0|399|0|0.0|399|0.0102| C|
11|sociology|1|1|1|||403|0|0.0|403|0|0.0|403|0.012| B|
12|miscellaneous|2|2|2|||294|261|0.8878|294|261|0.8878|294|0.0121| A|
13|high_school_chemistry|3|3|3|||458|0|0.0|458|0|0.0|458|0.0119| B|
14|moral_scenarios|2|2|2|||625|0|0.0|625|0|0.0|625|0.0133| C|
15|professional_law|0|0|0|||1341|1178|0.8784|1341|1178|0.8784|1341|0.0158| D|
16|prehistory|3|3|3|||429|0|0.0|429|0|0.0|429|0.0118| D|
17|professional_psychology|1|1|1|||393|352|0.8957|393|352|0.8957|393|0.0121| D|
18|college_chemistry|0|0|0|||430|1|0.0023|430|1|0.0023|430|0.021| B|
19|professional_psychology|2|2|2|||406|0|0.0|406|0|0.0|406|0.0124| A|
20|high_school_chemistry|3|3|3|||436|379|0.8693|436|379|0.8693|436|0.0113| C|
21|electrical_engineering|1|1|1|||385|1|0.0026|385|1|0.0026|385|0.0101| C|
22|high_school_biology|0|0|0|||478|0|0.0|478|0|0.0|478|0.013| B|
23|management|2|2|2|||278|0|0.0|278|0|0.0|278|0.0114| D|
24|professional_psychology|1|1|1|||428|352|0.8224|428|352|0.8224|428|0.0129| D|
25|jurisprudence|3|3|3|||535|0|0.0|535|0|0.0|535|0.0139| C|
26|moral_disputes|0|0|0|||404|0|0.0|404|0|0.0|404|0.0376| B|
27|elementary_mathematics|1|1|1|||395|0|0.0|395|0|0.0|395|0.0111| B|
28|high_school_world_history|2|2|2|||1656|0|0.0|1656|0|0.0|1656|0.0226| C|
29|philosophy|3|3|3|||288|0|0.0|288|0|0.0|288|0.012| D|
30|elementary_mathematics|2|2|2|||360|3|0.0083|360|3|0.0083|360|0.0119| B|
31|international_law|0|0|0|||537|1|0.0019|537|1|0.0019|537|0.0192| C|
32|professional_psychology|3|3|3|||429|1|0.0023|429|1|0.0023|429|0.0124| B|
33|logical_fallacies|1|1|1|||502|0|0.0|502|0|0.0|502|0.0271| C|
34|high_school_european_history|2|2|2|||1637|8|0.0049|1637|8|0.0049|1637|0.032| C|
35|miscellaneous|0|0|0|||291|0|0.0|291|0|0.0|291|0.0118| D|
36|high_school_microeconomics|3|3|3|||456|0|0.0|456|0|0.0|456|0.0097| C|
37|professional_law|1|1|1|||1336|0|0.0|1336|0|0.0|1336|0.0175| D|
38|high_school_psychology|0|0|0|||331|0|0.0|331|0|0.0|331|0.0127| C|
39|high_school_geography|1|1|1|||284|1|0.0035|284|1|0.0035|284|0.0117| C|
40|moral_scenarios|2|2|2|||623|560|0.8989|623|560|0.8989|623|0.0143| A|
41|high_school_world_history|3|3|3|||1827|0|0.0|1827|0|0.0|1827|0.0259| D|
42|moral_scenarios|0|0|0|||631|0|0.0|631|0|0.0|631|0.0134| A|
43|us_foreign_policy|2|2|2|||369|3|0.0081|369|3|0.0081|369|0.0137| C|
44|high_school_us_history|3|3|3|||1775|8|0.0045|1775|8|0.0045|1775|0.0169| B|
45|professional_psychology|1|1|1|||468|352|0.7521|468|352|0.7521|468|0.0124| B|
46|professional_psychology|2|2|2|||411|352|0.8564|411|352|0.8564|411|0.0129| B|
47|college_physics|0|0|0|||512|1|0.002|512|1|0.002|512|0.041| B|
48|international_law|3|3|3|||515|1|0.0019|515|1|0.0019|515|0.0098| B|
49|astronomy|1|1|1|||386|2|0.0052|386|2|0.0052|386|0.0095| B|
50|global_facts|2|2|2|||325|0|0.0|325|0|0.0|325|0.0157| C|
51|miscellaneous|0|0|0|||307|264|0.8599|307|264|0.8599|307|0.0104| B|
52|moral_scenarios|1|1|1|||611|0|0.0|611|0|0.0|611|0.011| C|
53|formal_logic|3|3|3|||709|0|0.0|709|0|0.0|709|0.0126| A|
54|high_school_macroeconomics|0|0|0|||461|0|0.0|461|0|0.0|461|0.0122| C|
55|logical_fallacies|2|2|2|||577|0|0.0|577|0|0.0|577|0.0199| D|
56|moral_scenarios|3|3|3|||619|0|0.0|619|0|0.0|619|0.012| C|
57|high_school_psychology|0|0|0|||387|289|0.7468|387|289|0.7468|387|0.0125| B|
58|elementary_mathematics|1|1|1|||359|320|0.8914|359|320|0.8914|359|0.009| B|
59|human_sexuality|1|1|1|||382|4|0.0105|382|4|0.0105|382|0.0096| B|
60|miscellaneous|2|2|2|||301|261|0.8671|301|261|0.8671|301|0.0215| C|
61|nutrition|2|2|2|||378|1|0.0026|378|1|0.0026|378|0.0125| B|
62|philosophy|3|3|3|||284|246|0.8662|284|246|0.8662|284|0.0276| A|
63|high_school_psychology|0|0|0|||359|289|0.805|359|289|0.805|359|0.0113| B|
64|world_religions|3|3|3|||254|0|0.0|254|0|0.0|254|0.0116| C|
65|miscellaneous|1|1|1|||362|0|0.0|362|0|0.0|362|0.0114| C|
66|virology|0|0|0|||309|0|0.0|309|0|0.0|309|0.011| B|
67|professional_law|2|2|2|||1408|0|0.0|1408|0|0.0|1408|0.0239| D|
68|high_school_chemistry|3|3|3|||419|379|0.9045|419|379|0.9045|419|0.0112| C|
69|moral_scenarios|0|0|0|||617|561|0.9092|617|561|0.9092|617|0.0122| A|
70|professional_law|1|1|1|||1336|1178|0.8817|1336|1178|0.8817|1336|0.0149| C|
71|high_school_psychology|2|2|2|||348|0|0.0|348|0|0.0|348|0.0224| B|
72|high_school_geography|3|3|3|||293|1|0.0034|293|1|0.0034|293|0.0129| D|
73|world_religions|0|0|0|||250|0|0.0|250|0|0.0|250|0.0098| B|
74|miscellaneous|1|1|1|||293|261|0.8908|293|261|0.8908|293|0.0135| C|
75|prehistory|2|2|2|||419|0|0.0|419|0|0.0|419|0.0112| B|
76|us_foreign_policy|3|3|3|||345|0|0.0|345|0|0.0|345|0.0118| D|
77|world_religions|0|0|0|||261|206|0.7893|261|206|0.7893|261|0.0633| D|
78|high_school_psychology|1|1|1|||366|0|0.0|366|0|0.0|366|0.0115| C|
79|high_school_macroeconomics|2|2|2|||414|0|0.0|414|0|0.0|414|0.0192| B|
80|high_school_microeconomics|3|3|3|||521|386|0.7409|521|386|0.7409|521|0.0107| D|
81|miscellaneous|0|0|0|||335|261|0.7791|335|261|0.7791|335|0.0116| D|
82|econometrics|1|1|1|||674|1|0.0015|674|1|0.0015|674|0.0107| D|
83|professional_law|1|1|1|||1607|1177|0.7324|1607|1177|0.7324|1607|0.0244| D|
84|professional_law|2|2|2|||1387|1177|0.8486|1387|1177|0.8486|1387|0.0168| B|
85|astronomy|3|3|3|||382|2|0.0052|382|2|0.0052|382|0.0396| D|
86|global_facts|0|0|0|||339|0|0.0|339|0|0.0|339|0.0146| B|
87|computer_security|2|2|2|||518|4|0.0077|518|4|0.0077|518|0.0113| A|
88|professional_law|1|1|1|||1405|1178|0.8384|1405|1178|0.8384|1405|0.0126| B|
89|high_school_biology|2|2|2|||401|0|0.0|401|0|0.0|401|0.0134| A|
90|high_school_statistics|3|3|3|||697|1|0.0014|697|1|0.0014|697|0.0382| C|
91|professional_law|3|3|3|||1448|0|0.0|1448|0|0.0|1448|0.017| C|
92|high_school_psychology|0|0|0|||323|289|0.8947|323|289|0.8947|323|0.0112| A|
93|machine_learning|0|0|0|||392|0|0.0|392|0|0.0|392|0.0621| B|
94|college_mathematics|1|1|1|||479|0|0.0|479|0|0.0|479|0.0121| C|
95|professional_law|1|1|1|||1407|1177|0.8365|1407|1177|0.8365|1407|0.0162| A|
96|formal_logic|2|2|2|||759|0|0.0|759|0|0.0|759|0.0139| C|
97|sociology|3|3|3|||424|0|0.0|424|0|0.0|424|0.0116| C|
98|professional_medicine|2|2|2|||1287|1|0.0008|1287|1|0.0008|1287|0.0434| C|
99|human_sexuality|0|0|0|||380|1|0.0026|380|1|0.0026|380|0.0254| D|
100|miscellaneous|1|1|1|||291|261|0.8969|291|261|0.8969|291|0.0105| C|
101|world_religions|2|2|2|||243|0|0.0|243|0|0.0|243|0.0109| A|
102|security_studies|3|3|3|||1083|2|0.0018|1083|2|0.0018|1083|0.0344| A|
103|high_school_psychology|3|3|3|||328|0|0.0|328|0|0.0|328|0.0373| C|
104|high_school_biology|0|0|0|||367|329|0.8965|367|329|0.8965|367|0.0106| D|
105|professional_accounting|1|1|1|||598|0|0.0|598|0|0.0|598|0.0127| D|
106|high_school_physics|0|0|0|||615|1|0.0016|615|1|0.0016|615|0.0537| C|
107|high_school_macroeconomics|2|2|2|||418|368|0.8804|418|368|0.8804|418|0.0173| C|
108|miscellaneous|3|3|3|||330|0|0.0|330|0|0.0|330|0.0121| B|
109|computer_security|0|0|0|||501|4|0.008|501|4|0.008|501|0.0104| D|
110|high_school_microeconomics|1|1|1|||468|0|0.0|468|0|0.0|468|0.0115| B|
